Text (English)	Tetx (Hindi)
who are you?	आप कौन हैं?
all about you	सब आपके बारे में
what is your personality	आपका व्यक्तित्व क्या है
define yourself	अपने आप को परिभाषित करें
what are you	आप क्या
say about you	अपने बारे में कहो
introduce yourself	अपना परिचय दें
describe yourself	स्वयं का विवरण दें
about yourself	अपने बारे में
tell me about you	मुझे अपने बारे में बताएं
tell me about yourself	मुझे अपने बारे में बताओ
I want to know more about you	तुम्हारे बारे मे विस्तार से जानने की इच्छा है
I want to know you better	मैं आपको और अच्छे से जानना चाहता हूँ
talk some stuff about yourself	अपने बारे में कुछ बातें करें
tell me some stuff about you	मुझे अपने बारे में कुछ बातें बताओ
talk about yourself	खुद के बारे में बात करते हैं
why are you here	तुम यहाँ क्यों हो
tell me about your personality	मुझे अपने व्यक्तित्व के बारे में बताओ
who are you	आप कौन हैं
how old are you?	आपकी आयु कितनी है?
how old is your platform	आपका मंच कितना पुराना है
are you 21 years old	क्या आप 21 साल के हैं
i'd like to know your age	मैं आपकी उम्र जानना चाहता हूं
age of yours	आप की उम्र
your age	आपकी उम्र
what's your age	तुम्हारी उम्र क्या है
tell me your age	मुझे अपनी आयु बताएँ
how old are you	आपकी आयु कितनी है
you're annoying	आप गुस्सा हो रहे हैं
you are really annoying	तुम सच में परेशान कर रहे हो
you are irritating	तुम परेशान कर रहे हो
you annoy me	तुमने मुझे सताया
how annoying you are	तुम कितने परेशान हो
I find you annoying	मुझे तुम परेशान लगते हो
you're incredibly annoying	तुम अविश्वसनीय रूप से परेशान हो
you are annoying me so much	तुम मुझे बहुत परेशान कर रहे हो
I want you to answer me	मैं चाहता हूं कि आप मुझे जवाब दें
answer	जवाब
answer my question	मेरे सवाल का जवाब दो
answer me	मुझे उत्तर दो
give me an answer	मुझे एक जवाब दें
answer the question	प्रश्न का उत्तर दो
can you answer my question	क्या तुम मेरे सवाल का जवाब दे सकते हो
tell me the answer	मुझे उत्तर बताओ
answer it	यह जवाब
give me the answer	मुझे उत्तर दो
I have a question	मेरा एक सवाल है
I want you to answer my question	मैं चाहता हूं कि आप मेरे प्रश्न का उत्तर दें
just answer the question	केवल प्रश्न का उत्तर दें
can you answer me	क्या तुम मुझे जवाब दे सकते हो
answers	जवाब
can you answer a question for me	क्या आप मेरे लिए एक प्रश्न का उत्तर दे सकते हैं
can you answer	क्या आप उत्तर दे सकते हैं
answering questions	सवालों का जवाब दे
I want the answer now	मुझे अब जवाब चाहिए
just answer my question	बस मेरे प्रश्न का उत्तर दो
you're not helping me	तुम मेरी मदद नहीं कर रहे हो
you are bad	आप बुरे हैं
you're very bad	तुम बहुत बुरे हो
you're really bad	तुम सच में बुरे हो
you are useless	आप बेकार हैं
you are horrible	आप भयानक हो
you are a waste of time	आप समय की बर्बादी कर रहे हैं
you are disgusting	आप घृणित हैं
you are lame	आप पंगु हैं
you are no good	तुम अच्छे नहीं हो
you're bad	आप बुरे हैं
you're awful	तुम डरावने हो
you are not cool	तुम सुंदर नहीं हो
you are not good	आप अच्छे नहीं हो
you are so bad	आप बहुत बुरे हो
you are so useless	तुम बहुत बेकार हो
you are terrible	आप बहुत बुरे हैं
you are totally useless	तुम बिलकुल बेकार हो
you are very bad	आप बहुत बुरे हैं
you are waste	तुम बेकार हो
you're a bad	तुम बुरे हो
